1.96E-07,1.28E-06,1.06E-06,6.39E-06,5.84E-08,4.57E-08,4.55E-08,6.36E-08,1.67E-06,2.49E-06,3.94E-06,1.6E-06,3.05E-08,2.95E-08,8.64E-08,9E-08,2.46E-07,2.41E-07,4.74E-07,4.85E-07,4.65E-07,6.31E-07,6.14E-07,2.27E-07,7.72E-08,1.3E-07,5.45E-08,1.66E-08,6.36E-09,2.99E-09,1.44E-08,7.08E-08,1.56E-07,2.73E-07
2.5E-07,1.19E-06,1.55E-06,9.42E-06,8.22E-08,6.4E-08,6.36E-08,8.94E-08,3.14E-06,1.74E-06,1.6E-06,5.03E-06,3.88E-08,3.77E-08,9.54E-08,9.87E-08,3.49E-07,3.41E-07,6.84E-07,7.01E-07,6.95E-07,9.82E-07,9.08E-07,2.8E-07,7.42E-08,1.09E-07,5.68E-08,2.08E-08,8.66E-09,4.23E-09,2.06E-08,1.02E-07,2.26E-07,3.97E-07
1.79E-06,5.05E-07,6.63E-07,4.05E-07,8.84E-08,8.13E-08,8.64E-08,9.54E-08,3.56E-08,2.97E-08,3.05E-08,3.88E-08,1.45E-06,1.09E-06,6.2E-08,5.78E-08,1.52E-07,1.52E-07,1.17E-07,1.15E-07,9.95E-08,6.37E-08,3.12E-08,7.05E-09,1.80E-09,6.07E-09,4.23E-08,2.01E-07,3.16E-08,5.12E-09,1.53E-08,5.67E-08,9.64E-08,1.18E-07
1.90E-06,4.65E-07,6.75E-07,3.98E-07,9.14E-08,8.46E-08,9E-08,9.87E-08,3.45E-08,2.87E-08,2.95E-08,3.77E-08,1.09E-06,1.45E-06,5.78E-08,5.39E-08,1.52E-07,1.52E-07,1.15E-07,1.13E-07,9.84E-08,6.26E-08,3.05E-08,6.87E-09,1.75E-09,5.79E-09,3.90E-08,1.98E-07,3.41E-08,5.35E-09,1.58E-08,5.79E-08,9.75E-08,1.18E-07
5.05E-07,1.79E-06,4.05E-07,6.63E-07,3.56E-08,2.97E-08,3.05E-08,3.88E-08,8.84E-08,8.13E-08,8.64E-08,9.54E-08,6.2E-08,5.78E-08,1.45E-06,1.09E-06,1.17E-07,1.15E-07,1.52E-07,1.52E-07,1.18E-07,9.64E-08,5.67E-08,1.53E-08,5.12E-09,3.16E-08,2.01E-07,4.23E-08,6.07E-09,1.8E-09,7.05E-09,3.12E-08,6.37E-08,9.95E-08
4.65E-07,1.9E-06,3.98E-07,6.75E-07,3.45E-08,2.87E-08,2.95E-08,3.77E-08,9.14E-08,8.46E-08,9E-08,9.87E-08,5.78E-08,5.39E-08,1.09E-06,1.45E-06,1.15E-07,1.13E-07,1.52E-07,1.52E-07,1.18E-07,9.75E-08,5.79E-08,1.58E-08,5.35E-09,3.41E-08,1.98E-07,3.9E-08,5.79E-09,1.75E-09,6.87E-09,3.05E-08,6.26E-08,9.84E-08
1.09E-06,7.59E-07,8.69E-06,5.38E-06,6.23E-07,4.78E-07,4.74E-07,6.84E-07,3.2E-07,2.48E-07,2.46E-07,3.49E-07,1.52E-07,1.52E-07,1.17E-07,1.15E-07,7.88E-06,6.45E-06,1.57E-06,1.52E-06,1.67E-06,8.69E-07,3.79E-07,7.62E-08,1.59E-08,3.19E-08,6.01E-08,7.75E-08,5.65E-08,2.94E-08,1.37E-07,6.75E-07,1.57E-06,2.51E-06
1.10E-06,7.45E-07,8.85E-06,5.29E-06,6.39E-07,4.89E-07,4.85E-07,7.01E-07,3.12E-07,2.42E-07,2.41E-07,3.41E-07,1.52E-07,1.52E-07,1.15E-07,1.13E-07,6.45E-06,7.88E-06,1.52E-06,1.48E-06,1.64E-06,8.52E-07,3.72E-07,7.47E-08,1.56E-08,3.12E-08,5.91E-08,7.76E-08,5.75E-08,3.01E-08,1.40E-07,6.90E-07,1.61E-06,2.51E-06
7.59E-07,1.09E-06,5.38E-06,8.69E-06,3.2E-07,2.48E-07,2.46E-07,3.49E-07,6.23E-07,4.78E-07,4.74E-07,6.84E-07,1.17E-07,1.15E-07,1.52E-07,1.52E-07,1.57E-06,1.52E-06,7.88E-06,6.45E-06,2.51E-06,1.57E-06,6.75E-07,1.37E-07,2.94E-08,5.65E-08,7.75E-08,6.01E-08,3.19E-08,1.59E-08,7.62E-08,3.79E-07,8.69E-07,1.67E-06
7.45E-07,1.1E-06,5.29E-06,8.85E-06,3.12E-07,2.42E-07,2.41E-07,3.41E-07,6.39E-07,4.89E-07,4.85E-07,7.01E-07,1.15E-07,1.13E-07,1.52E-07,1.52E-07,1.52E-06,1.48E-06,6.45E-06,7.88E-06,2.51E-06,1.61E-06,6.9E-07,1.4E-07,3.01E-08,5.75E-08,7.76E-08,5.91E-08,3.12E-08,1.56E-08,7.47E-08,3.72E-07,8.52E-07,1.64E-06
